env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 2.0000
NumCells_XYZ 100 100 20
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 2.9286 0.8571 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
0 10 0 0 -272 38 15
0 10 1 0 -20 4 126
0 10 2 0 -31 -3 249
0 10 3 0 -26 -4 353
0 10 4 0 -22 -7 505
0 10 5 0 -26 -6 573
0 10 6 0 -18 -8 753
0 10 7 0 -26 -8 800
0 10 8 0 -23 -9 978
0 10 9 0 -24 -10 1047
0 10 10 0 -24 -10 1206
0 10 11 0 -20 -11 1294
0 10 12 0 -20 -15 1410
0 10 13 0 -17 -13 1507
0 10 14 0 -4 -16 1574
0 10 15 0 1 -16 1587
0 10 16 0 54 -16 1357
0 10 17 0 227 -165 742
0 10 18 0 -3178 1221 -9391
0 10 19 0 -8628 2746 -11367
0 11 0 0 -131 293 18
0 11 1 0 -100 266 109
0 11 2 0 -91 219 252
0 11 3 0 -99 206 280
0 11 4 0 -82 165 478
0 11 5 0 -97 147 499
0 11 6 0 -80 135 721
0 11 7 0 -88 121 739
0 11 8 0 -79 110 957
0 11 9 0 -79 93 987
0 11 10 0 -74 85 1199
0 11 11 0 -68 68 1234
0 11 12 0 -63 39 1401
0 11 13 0 -53 20 1450
0 11 14 0 -37 -3 1548
0 11 15 0 -14 -31 1555
0 11 16 0 80 -27 1327
0 11 17 0 258 68 1090
0 11 18 0 158 -1719 -1347
0 11 19 0 -1810 1103 -6286
0 12 0 0 -122 819 -5
0 12 1 0 -292 759 145
0 12 2 0 -301 750 169
0 12 3 0 -303 681 316
0 12 4 0 -317 683 399
0 12 5 0 -328 617 545
0 12 6 0 -328 630 653
0 12 7 0 -325 594 749
0 12 8 0 -339 567 849
0 12 9 0 -335 533 986
0 12 10 0 -330 509 1109
0 12 11 0 -316 491 1177
0 12 12 0 -326 401 1255
0 12 13 0 -311 346 1375
0 12 14 0 -237 252 1458
0 12 15 0 -182 173 1414
0 12 16 0 -131 5 1212
0 12 17 0 182 -588 1491
0 12 18 0 520 -180 -146
0 12 19 0 536 -7391 -2476
0 13 0 0 -168 1180 2
0 13 1 0 -252 1438 28
0 13 2 0 -224 1320 129
0 13 3 0 -219 1269 236
0 13 4 0 -209 1281 432
0 13 5 0 -217 1279 495
0 13 6 0 -212 1275 692
0 13 7 0 -207 1306 698
0 13 8 0 -220 1218 853
0 13 9 0 -228 1244 944
0 13 10 0 -212 1162 1107
0 13 11 0 -199 1229 1114
0 13 12 0 -205 1058 1196
0 13 13 0 -196 1076 1269
0 13 14 0 -154 708 1301
0 13 15 0 -81 770 1259
0 13 16 0 12 513 697
0 13 17 0 153 916 1023
0 13 18 0 682 -807 -3142
0 13 19 0 -1905 -5147 -2337
0 14 0 0 -149 1997 -7
0 14 1 0 -200 1873 241
0 14 18 0 -250 -726 -4523
0 14 19 0 64 5113 -1988
0 15 0 0 -165 2342 -10
0 15 1 0 -284 2408 136
0 15 2 0 -707 2324 265
0 15 4 0 -693 2375 508
0 15 6 0 -680 2415 663
0 15 8 0 -688 2342 875
0 15 11 0 -644 2317 1009
0 15 13 0 -608 2143 1023
0 15 15 0 -425 1879 1093
0 15 17 0 95 1696 -446
0 15 18 0 -764 1009 -2653
0 15 19 0 566 4548 -1528
0 16 0 0 -148 3056 -3
0 16 1 0 -252 3022 206
0 16 18 0 -967 2671 -1655
0 16 19 0 285 2198 781
0 17 0 0 -193 3456 -10
0 17 1 0 -291 3604 60
0 17 2 0 -588 3495 274
0 17 4 0 -527 3485 477
0 17 6 0 -512 3508 634
0 17 8 0 -512 3469 836
0 17 11 0 -469 3451 943
0 17 13 0 -466 3367 921
0 17 15 0 -318 3275 1014
0 17 17 0 -221 3065 -185
0 17 18 0 -1016 3643 -687
0 17 19 0 246 2107 907
0 18 0 0 -130 4139 -5
0 18 1 0 -214 4173 176
0 18 18 0 -858 4774 -316
0 18 19 0 55 2813 1283
0 19 0 0 -180 4482 -4
0 19 1 0 -233 4676 89
0 19 2 0 -486 4468 315
0 19 4 0 -441 4462 490
0 19 6 0 -430 4496 627
0 19 8 0 -430 4468 820
0 19 11 0 -386 4478 899
0 19 13 0 -403 4429 868
0 19 15 0 -251 4431 971
0 19 17 0 -348 4205 72
0 19 18 0 -928 5336 -169
0 19 19 0 20 2779 1273
0 20 0 0 -120 5044 -3
0 20 1 0 -164 5083 206
0 20 18 0 -779 5984 58
0 20 19 0 -92 3482 1431
0 21 0 0 -159 5310 -4
0 21 1 0 -191 5471 119
0 21 2 0 -407 5242 331
0 21 4 0 -382 5240 504
0 21 6 0 -375 5270 632
0 21 8 0 -375 5262 825
0 21 11 0 -332 5292 895
0 21 13 0 -357 5289 870
0 21 15 0 -192 5359 1014
0 21 17 0 -362 5227 134
0 21 18 0 -806 6306 286
0 21 19 0 -85 3212 1375
0 22 0 0 -115 5756 2
0 22 1 0 -133 5793 217
0 22 17 0 -344 6113 263
0 22 18 0 -649 6799 410
0 22 19 0 -111 4056 1540
0 23 0 0 -142 5967 -2
0 23 1 0 -161 6099 140
0 23 2 0 -346 5882 338
0 23 4 0 -331 5890 519
0 23 6 0 -326 5919 646
0 23 8 0 -325 5929 848
0 23 11 0 -284 5974 921
0 23 13 0 -316 6008 931
0 23 15 0 -146 6133 1119
0 23 18 0 -644 6886 776
0 23 19 0 -151 3414 1511
0 24 0 0 -107 6321 6
0 24 1 0 -111 6358 221
0 24 18 0 -475 7189 1067
0 24 19 0 -950 28108 1863
0 25 0 0 -129 6492 0
0 25 1 0 -136 6604 150
0 25 2 0 -297 6399 339
0 25 4 0 -285 6416 536
0 25 6 0 -281 6444 668
0 25 8 0 -281 6465 883
0 25 11 0 -241 6520 972
0 25 13 0 -279 6576 1026
0 25 15 0 -115 6722 1264
0 25 17 0 -347 6751 540
0 25 18 0 -437 7468 1323
0 25 19 0 -300 20064 1587
0 26 0 0 -100 6775 8
0 26 1 0 -92 6814 219
0 26 18 0 -457 7641 1209
0 26 19 0 -271 4591 1713
0 27 0 0 -117 6912 3
0 27 1 0 -114 7006 158
0 27 2 0 -254 6814 342
0 27 4 0 -244 6836 555
0 27 6 0 -240 6863 694
0 27 8 0 -242 6891 926
0 27 11 0 -204 6947 1032
0 27 13 0 -243 7014 1134
0 27 15 0 -93 7153 1393
0 27 17 0 -341 7186 873
0 27 18 0 -440 7476 1572
0 27 19 0 -222 3580 815
0 28 0 0 -90 7131 10
0 28 1 0 -76 7171 216
0 28 18 0 -343 7740 1778
0 28 19 0 -954 32105 2113
0 29 0 0 -104 7234 5
0 29 1 0 -93 7316 161
0 29 2 0 -213 7138 344
0 29 4 0 -204 7162 573
0 29 6 0 -201 7187 722
0 29 8 0 -204 7218 970
0 29 11 0 -168 7271 1097
0 29 13 0 -210 7338 1234
0 29 15 0 -70 7461 1533
0 29 17 0 -343 7482 1103
0 29 18 0 -304 7931 1865
0 29 19 0 -483 22847 1558
0 30 0 0 -80 7394 11
0 30 1 0 -56 7437 216
0 30 18 0 -344 8021 1786
0 30 19 0 -322 4695 1953
0 31 0 0 -89 7459 8
