env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 2.0000
NumCells_XYZ 100 100 20
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 2.5000 7.4286 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
0 84 19 0 -43 2007 22
0 85 0 0 -43 2332 4
0 85 19 0 -40 2057 10
0 86 0 0 -39 2383 0
0 86 19 0 -42 2092 20
0 87 0 0 -42 2405 20
0 87 19 0 -42 2137 11
0 88 0 0 -39 2433 3
0 88 19 0 -47 2136 19
0 89 0 0 -43 2507 -5
0 89 19 0 -43 2192 14
0 90 0 0 -37 2584 2
0 90 19 0 -39 2261 21
0 91 0 0 -33 2542 54
0 91 19 0 -43 2304 17
0 92 0 0 -29 2513 19
0 92 19 0 -45 2266 11
0 93 0 0 -22 2717 -25
0 93 19 0 -30 2326 17
0 94 0 0 -11 2893 6
0 94 19 0 -5 2581 35
0 95 0 0 -25 2778 62
0 95 19 0 -25 2626 25
0 96 0 0 -14 2655 20
0 96 19 0 -40 2458 7
0 97 0 0 -107 2959 -22
0 97 19 0 -72 2512 17
0 98 0 0 175 3287 0
0 98 1 0 287 3134 31
0 98 2 0 363 3036 45
0 98 3 0 361 3038 45
0 98 4 0 359 3068 29
0 98 5 0 358 3096 7
0 98 6 0 357 3100 -4
0 98 7 0 349 3094 -21
0 98 8 0 339 3069 -26
0 98 9 0 336 3049 -26
0 98 10 0 341 2987 -12
0 98 11 0 355 2922 0
0 98 12 0 363 2892 3
0 98 13 0 382 2841 5
0 98 14 0 394 2817 0
0 98 15 0 390 2821 -5
0 98 16 0 375 2818 -21
0 98 17 0 329 2801 -22
0 98 18 0 281 2850 -11
0 98 19 0 112 2934 64
0 99 0 0 316 3053 -194
0 99 1 0 233 2902 -17
0 99 2 0 336 3051 20
0 99 3 0 330 3070 19
0 99 4 0 260 2949 20
0 99 5 0 334 3076 6
0 99 6 0 339 3066 -10
0 99 7 0 236 2954 -29
0 99 8 0 324 3058 -26
0 99 9 0 313 3043 -23
0 99 10 0 218 2871 -7
0 99 11 0 313 2980 -5
0 99 12 0 322 2935 2
0 99 13 0 253 2762 -1
0 99 14 0 341 2891 3
0 99 15 0 339 2893 -2
0 99 16 0 284 2754 -10
0 99 17 0 309 2850 8
0 99 18 0 282 2971 240
0 99 19 0 192 2927 49
1 10 0 0 -170 36 6
1 10 1 0 -115 22 -1
1 10 2 0 -122 24 -1
1 10 3 0 -199 58 -1
1 10 4 0 -128 26 0
1 10 5 0 -128 26 0
1 10 6 0 -203 61 0
1 10 7 0 -128 26 0
1 10 8 0 -129 26 0
1 10 9 0 -203 61 0
1 10 10 0 -129 26 0
1 10 11 0 -129 26 0
1 10 12 0 -203 61 0
1 10 13 0 -129 26 1
1 10 14 0 -130 26 1
1 10 15 0 -200 58 1
1 10 16 0 -125 24 1
1 10 17 0 -122 23 0
1 10 18 0 -171 36 -3
1 10 19 0 -102 32 -12
1 11 0 0 -126 81 -1
1 11 1 0 -124 72 -4
1 11 2 0 -124 67 -5
1 11 3 0 -124 63 -4
1 11 4 0 -125 62 -3
1 11 5 0 -125 62 -2
1 11 6 0 -125 62 -1
1 11 7 0 -125 62 -1
1 11 8 0 -126 62 0
1 11 9 0 -126 62 0
1 11 10 0 -126 62 0
1 11 11 0 -126 62 0
1 11 12 0 -126 62 0
1 11 13 0 -126 62 0
1 11 14 0 -126 62 1
1 11 15 0 -126 63 2
1 11 16 0 -126 66 3
1 11 17 0 -126 70 2
1 11 18 0 -128 76 0
1 11 19 0 -15 -21 -7
1 12 0 0 -111 137 12
1 12 19 0 -24 129 -17
1 13 0 0 -136 235 -7
1 13 1 0 -72 194 0
1 13 2 0 -73 194 0
1 13 3 0 -73 195 0
1 13 4 0 -73 195 -1
1 13 5 0 -74 196 -1
1 13 6 0 -74 196 -1
1 13 7 0 -74 196 -1
1 13 8 0 -74 196 -1
1 13 9 0 -74 197 0
1 13 10 0 -74 197 0
1 13 11 0 -74 197 0
1 13 12 0 -74 198 0
1 13 13 0 -74 198 0
1 13 14 0 -73 199 0
1 13 15 0 -73 200 0
1 13 16 0 -73 200 0
1 13 17 0 -72 201 1
1 13 18 0 -70 201 2
1 13 19 0 17 74 -3
1 14 0 0 -122 266 2
1 14 19 0 1 275 -30
1 15 0 0 -136 371 -22
1 15 1 0 -72 320 0
1 15 2 0 -71 321 0
1 15 3 0 -71 321 0
1 15 4 0 -71 321 0
1 15 5 0 -71 321 0
1 15 6 0 -71 322 0
1 15 7 0 -71 322 0
1 15 8 0 -71 322 0
1 15 9 0 -71 322 0
1 15 10 0 -71 323 1
1 15 11 0 -71 323 1
1 15 12 0 -71 323 2
1 15 13 0 -70 324 2
1 15 14 0 -70 324 2
1 15 15 0 -69 325 3
1 15 16 0 -69 325 4
1 15 17 0 -68 326 5
1 15 18 0 -63 328 10
1 15 19 0 46 152 -8
1 16 0 0 -108 415 0
1 16 19 0 12 407 -36
1 17 0 0 -127 498 -28
1 17 1 0 -60 448 -2
1 17 2 0 -62 450 -2
1 17 3 0 -63 452 -2
1 17 4 0 -64 453 0
1 17 5 0 -64 453 0
1 17 6 0 -64 453 0
1 17 7 0 -64 453 0
1 17 8 0 -64 453 0
1 17 9 0 -64 454 0
1 17 10 0 -64 454 0
1 17 11 0 -64 454 0
1 17 12 0 -63 454 0
1 17 13 0 -63 455 1
1 17 14 0 -62 455 1
1 17 15 0 -61 455 1
1 17 16 0 -61 455 2
1 17 17 0 -59 455 3
1 17 18 0 -56 455 5
1 17 19 0 30 251 -18
1 18 0 0 -92 537 -6
1 18 19 0 15 540 -36
1 19 0 0 -117 610 -33
1 19 1 0 -56 560 -8
