env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 2.0000
NumCells_XYZ 100 100 20
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 1.9286 6.5714 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
0 0 0 0 0 0 0
0 0 1 0 0 0 0
0 0 2 0 0 0 0
0 0 3 0 0 0 0
0 0 4 0 0 0 0
0 0 5 0 0 0 0
0 0 6 0 0 0 0
0 0 7 0 0 0 0
0 0 8 0 0 0 0
0 0 9 0 0 0 0
0 0 10 0 0 0 0
0 0 11 0 0 0 0
0 0 12 0 0 0 0
0 0 13 0 0 0 0
0 0 14 0 0 0 0
0 0 15 0 0 0 0
0 0 16 0 0 0 0
0 0 17 0 0 0 0
0 0 18 0 0 0 0
0 0 19 0 0 0 0
0 1 0 0 0 0 0
0 1 1 0 0 0 0
0 1 2 0 0 0 0
0 1 3 0 0 0 0
0 1 4 0 0 0 0
0 1 5 0 0 0 0
0 1 6 0 0 0 0
0 1 7 0 0 0 0
0 1 8 0 0 0 0
0 1 9 0 0 0 0
0 1 10 0 0 0 0
0 1 11 0 0 0 0
0 1 12 0 0 0 0
0 1 13 0 0 0 0
0 1 14 0 0 0 0
0 1 15 0 0 0 0
0 1 16 0 0 0 0
0 1 17 0 0 0 0
0 1 18 0 0 0 0
0 1 19 0 0 0 0
0 2 0 0 0 0 0
0 2 1 0 0 0 0
0 2 2 0 0 0 0
0 2 4 0 0 0 0
0 2 6 0 0 0 0
0 2 8 0 0 0 0
0 2 11 0 0 0 0
0 2 13 0 0 0 0
0 2 15 0 0 0 0
0 2 17 0 0 0 0
0 2 18 0 0 0 0
0 2 19 0 0 0 0
0 3 0 0 0 0 0
0 3 1 0 0 0 0
0 3 18 0 0 0 0
0 3 19 0 0 0 0
0 4 0 0 0 0 0
0 4 1 0 0 0 0
0 4 2 0 0 0 0
0 4 4 0 0 0 0
0 4 6 0 0 0 0
0 4 8 0 0 0 0
0 4 11 0 0 0 0
0 4 13 0 0 0 0
0 4 15 0 0 0 0
0 4 17 0 0 0 0
0 4 18 0 0 0 0
0 4 19 0 0 0 0
0 5 0 0 0 0 0
0 5 1 0 0 0 0
0 5 18 0 0 0 0
0 5 19 0 0 0 0
0 6 0 0 0 0 0
0 6 1 0 0 0 0
0 6 2 0 0 0 0
0 6 4 0 0 0 0
0 6 6 0 0 0 0
0 6 8 0 0 0 0
0 6 11 0 0 0 0
0 6 13 0 0 0 0
0 6 15 0 0 0 0
0 6 17 0 0 0 0
0 6 18 0 0 0 0
0 6 19 0 0 0 0
0 7 0 0 0 0 0
0 7 1 0 0 0 0
0 7 18 0 0 0 0
0 7 19 0 0 0 0
0 8 0 0 0 0 0
0 8 1 0 0 0 0
0 8 2 0 0 0 0
0 8 4 0 0 0 0
0 8 6 0 0 0 0
0 8 8 0 0 0 0
0 8 11 0 0 0 0
0 8 13 0 0 0 0
0 8 15 0 0 0 0
0 8 17 0 0 0 0
0 8 18 0 0 0 0
0 8 19 0 0 0 0
0 9 0 0 0 0 0
0 9 1 0 0 0 0
0 9 18 0 0 0 0
0 9 19 0 0 0 0
0 10 0 0 0 0 0
0 10 1 0 0 0 0
0 10 2 0 0 0 0
0 10 4 0 0 0 0
0 10 6 0 0 0 0
0 10 8 0 0 0 0
0 10 11 0 0 0 0
0 10 13 0 0 0 0
0 10 15 0 0 0 0
0 10 18 0 0 0 0
0 10 19 0 0 0 0
0 11 0 0 0 0 0
0 11 1 0 0 0 0
0 11 17 0 0 0 0
0 11 18 0 0 0 0
0 11 19 0 0 0 0
0 12 0 0 0 0 0
