env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 2.0000
NumCells_XYZ 100 100 20
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 2.4286 7.3571 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
0 10 0 0 0 141 0
0 10 1 0 2 139 0
0 10 2 0 3 142 0
0 10 3 0 3 142 0
0 10 4 0 3 142 0
0 10 5 0 3 142 0
0 10 6 0 3 142 0
0 10 7 0 3 141 0
0 10 8 0 3 142 0
0 10 9 0 3 142 0
0 10 10 0 3 142 0
0 10 11 0 3 142 0
0 10 12 0 3 141 0
0 10 13 0 3 142 0
0 10 14 0 3 142 0
0 10 15 0 3 142 0
0 10 16 0 3 143 0
0 10 17 0 3 142 0
0 10 18 0 2 139 0
0 10 19 0 0 148 1
0 11 0 0 10 119 5
0 11 1 0 3 118 -3
0 11 2 0 -1 118 0
0 11 3 0 -1 118 0
0 11 4 0 -1 117 0
0 11 5 0 -2 117 -1
0 11 6 0 -2 117 0
0 11 7 0 -2 116 0
0 11 8 0 -2 116 0
0 11 9 0 -2 116 0
0 11 10 0 -2 116 0
0 11 11 0 -2 116 0
0 11 12 0 -2 116 0
0 11 13 0 -2 117 0
0 11 14 0 -2 117 1
0 11 15 0 -1 117 0
0 11 16 0 -1 118 0
0 11 17 0 -1 118 0
0 11 18 0 3 118 3
0 11 19 0 6 125 -10
0 12 0 0 -2 123 0
0 12 1 0 -2 115 7
0 12 2 0 3 115 -2
0 12 3 0 0 115 0
0 12 4 0 0 116 0
0 12 5 0 0 116 0
0 12 6 0 0 116 0
0 12 7 0 0 116 0
0 12 8 0 0 117 0
0 12 9 0 0 117 0
0 12 10 0 0 117 0
0 12 11 0 0 117 0
0 12 12 0 0 116 0
0 12 13 0 0 116 0
0 12 14 0 0 116 0
0 12 15 0 0 116 0
0 12 16 0 0 115 0
0 12 17 0 3 114 1
0 12 18 0 -2 114 -7
0 12 19 0 0 119 0
0 13 0 0 14 137 5
0 13 1 0 1 115 -9
0 13 2 0 7 95 0
0 13 3 0 6 96 -4
0 13 4 0 8 97 5
0 13 5 0 7 96 -5
0 13 6 0 7 97 4
0 13 7 0 7 97 -4
0 13 8 0 7 98 5
0 13 9 0 7 98 -5
0 13 10 0 7 98 5
0 13 11 0 7 98 -5
0 13 12 0 7 98 5
0 13 13 0 7 98 -4
0 13 14 0 7 97 4
0 13 15 0 7 97 -4
0 13 16 0 6 95 5
0 13 17 0 7 95 1
0 13 18 0 1 116 10
0 13 19 0 -9 115 24
0 14 0 0 5 121 2
0 14 1 0 0 111 10
0 14 18 0 1 109 -11
0 14 19 0 7 123 -28
0 15 0 0 12 121 5
0 15 1 0 -1 112 -5
0 15 2 0 -1 107 4
0 15 4 0 0 110 1
0 15 6 0 0 110 1
0 15 8 0 0 110 0
0 15 11 0 0 110 0
0 15 13 0 0 110 0
0 15 15 0 0 110 -1
0 15 17 0 -2 107 -4
0 15 18 0 0 109 6
0 15 19 0 -4 110 2
0 16 0 0 2 121 1
0 16 1 0 0 113 6
0 16 18 0 -1 110 -6
0 16 19 0 8 123 -26
0 17 0 0 12 118 5
0 17 1 0 -1 115 -7
0 17 2 0 3 96 -1
0 17 4 0 5 97 -1
0 17 6 0 5 97 0
0 17 8 0 6 97 0
0 17 11 0 6 97 0
0 17 13 0 5 97 0
0 17 15 0 5 97 1
0 17 17 0 3 96 1
0 17 18 0 0 116 8
0 17 19 0 -3 108 0
0 18 0 0 2 118 1
0 18 1 0 0 115 7
0 18 18 0 0 114 -7
0 18 19 0 9 121 -24
0 19 0 0 12 113 5
0 19 1 0 0 110 -5
0 19 2 0 1 95 1
0 19 4 0 1 97 0
0 19 6 0 0 97 0
0 19 8 0 0 97 0
0 19 11 0 0 97 0
0 19 13 0 0 97 0
0 19 15 0 1 97 0
0 19 17 0 0 95 -2
0 19 18 0 1 111 6
0 19 19 0 -2 105 0
0 20 0 0 0 109 1
0 20 1 0 1 108 7
0 20 18 0 1 106 -7
0 20 19 0 8 113 -24
0 21 0 0 11 105 5
0 21 1 0 0 104 -6
0 21 2 0 3 87 0
0 21 4 0 3 88 0
0 21 6 0 3 88 0
0 21 8 0 3 88 0
